,v1,v2,no_punctuation,to_lowercase,word_tokens,stop_words,word_lemmatize,no_link,text_no_carac
961,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED Call 09050001808 from land line Claim M95 Valid12hrs only,urgent we are trying to contact u todays draw shows that you have won a å£800 prize guaranteed call 09050001808 from land line claim m95 valid12hrs only,"['urgent ', 'e are trying to contact u todays dra', ' sho', 's that you have ', 'on a å£800 prize guaranteed call 09050001808 from land line claim m95 valid12hrs only']","['urgent ', 'e are trying to contact u todays dra', ' sho', 's that you have ', 'on a å£800 prize guaranteed call 09050001808 from land line claim m95 valid12hrs only']","['urgent ', 'e are trying to contact u todays dra', ' sho', 's that you have ', 'on a å£800 prize guaranteed call 09050001808 from land line claim m95 valid12hrs only']",URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,urgent we are trying to contact u todays draw shows that you have won a å 800 prize guaranteed call 09050001808 from land line claim m95 valid12hrs only
962,ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",Watching cartoon listening music amp at eve had to go temple amp church What about u,watching cartoon listening music amp at eve had to go temple amp church what about u,"['', 'atching cartoon listening music amp at eve had to go temple amp church ', 'hat about u']","['', 'atching cartoon listening music amp at eve had to go temple amp church ', 'hat about u']","['', 'atching cartoon listening music amp at eve had to go temple amp church ', 'hat about u']","Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",watching cartoon listening music amp at eve had to go temple amp church what about u
963,ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,Yo chad which gymnastics class do you wanna take The site says Christians class is full,yo chad which gymnastics class do you wanna take the site says christians class is full,"['yo chad ', 'hich gymnastics class do you ', 'anna take the site says christians class is full']","['yo chad ', 'hich gymnastics class do you ', 'anna take the site says christians class is full']","['yo chad ', 'hich gymnastics class do you ', 'anna take the site says christians class is full']",Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,yo chad which gymnastics class do you wanna take the site says christians class is full
964,ham,Are you this much buzy,Are you this much buzy,are you this much buzy,['are you this much buzy'],['are you this much buzy'],['are you this much buzy'],Are you this much buzy,are you this much buzy
965,ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,Or better still can you catch her and let ask her if she can sell  ltgt  for me,or better still can you catch her and let ask her if she can sell  ltgt  for me,['or better still can you catch her and let ask her if she can sell  ltgt  for me'],['or better still can you catch her and let ask her if she can sell  ltgt  for me'],['or better still can you catch her and let ask her if she can sell  ltgt  for me'],Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,or better still can you catch her and let ask her if she can sell ltgt for me
966,ham,I am not sure about night menu. . . I know only about noon menu,I am not sure about night menu   I know only about noon menu,i am not sure about night menu   i know only about noon menu,"['i am not sure about night menu   i kno', ' only about noon menu']","['i am not sure about night menu   i kno', ' only about noon menu']","['i am not sure about night menu   i kno', ' only about noon menu']",I am not sure about night menu. . . I know only about noon menu,i am not sure about night menu i know only about noon menu
967,ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,What do u want when i come backa beautiful necklace as a token of my heart for youthats what i will give but ONLY to MY WIFE OF MY LIKINGBE THAT AND SEENO ONE can give you thatdont call mei will wait till i come,what do u want when i come backa beautiful necklace as a token of my heart for youthats what i will give but only to my wife of my likingbe that and seeno one can give you thatdont call mei will wait till i come,"['', 'hat do u ', 'ant ', 'hen i come backa beautiful necklace as a token of my heart for youthats ', 'hat i ', 'ill give but only to my ', 'ife of my likingbe that and seeno one can give you thatdont call mei ', 'ill ', 'ait till i come']","['', 'hat do u ', 'ant ', 'hen i come backa beautiful necklace as a token of my heart for youthats ', 'hat i ', 'ill give but only to my ', 'ife of my likingbe that and seeno one can give you thatdont call mei ', 'ill ', 'ait till i come']","['', 'hat do u ', 'ant ', 'hen i come backa beautiful necklace as a token of my heart for youthats ', 'hat i ', 'ill give but only to my ', 'ife of my likingbe that and seeno one can give you thatdont call mei ', 'ill ', 'ait till i come']",What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,what do u want when i come backa beautiful necklace as a token of my heart for youthats what i will give but only to my wife of my likingbe that and seeno one can give you thatdont call mei will wait till i come
968,ham,Are you willing to go for aptitude class.,Are you willing to go for aptitude class,are you willing to go for aptitude class,"['are you ', 'illing to go for aptitude class']","['are you ', 'illing to go for aptitude class']","['are you ', 'illing to go for aptitude class']",Are you willing to go for aptitude class.,are you willing to go for aptitude class
969,ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?",It wont b until 215 as trying 2 sort house out is that ok,it wont b until 215 as trying 2 sort house out is that ok,"['it ', 'ont b until 215 as trying 2 sort house out is that ok']","['it ', 'ont b until 215 as trying 2 sort house out is that ok']","['it ', 'ont b until 215 as trying 2 sort house out is that ok']","It wont b until 2.15 as trying 2 sort house out, is that ok?",it wont b until 215 as trying 2 sort house out is that ok
970,ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",Yar lor he wan 2 go c horse racing today mah so eat earlier lor I ate chicken rice U,yar lor he wan 2 go c horse racing today mah so eat earlier lor i ate chicken rice u,"['yar lor he ', 'an 2 go c horse racing today mah so eat earlier lor i ate chicken rice u']","['yar lor he ', 'an 2 go c horse racing today mah so eat earlier lor i ate chicken rice u']","['yar lor he ', 'an 2 go c horse racing today mah so eat earlier lor i ate chicken rice u']","Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",yar lor he wan 2 go c horse racing today mah so eat earlier lor i ate chicken rice u
971,ham,"Haha awesome, omw back now then",Haha awesome omw back now then,haha awesome omw back now then,"['haha a', 'esome om', ' back no', ' then']","['haha a', 'esome om', ' back no', ' then']","['haha a', 'esome om', ' back no', ' then']","Haha awesome, omw back now then",haha awesome omw back now then
972,ham,Yup i thk so until e shop closes lor.,Yup i thk so until e shop closes lor,yup i thk so until e shop closes lor,['yup i thk so until e shop closes lor'],['yup i thk so until e shop closes lor'],['yup i thk so until e shop closes lor'],Yup i thk so until e shop closes lor.,yup i thk so until e shop closes lor
973,ham,what is your account number?,what is your account number,what is your account number,"['', 'hat is your account number']","['', 'hat is your account number']","['', 'hat is your account number']",what is your account number?,what is your account number
974,ham,Eh u send wrongly lar...,Eh u send wrongly lar,eh u send wrongly lar,"['eh u send ', 'rongly lar']","['eh u send ', 'rongly lar']","['eh u send ', 'rongly lar']",Eh u send wrongly lar...,eh u send wrongly lar
975,ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch Thanx but u wait til nxt time il ave ya ,hey no i ad a crap nite was borin without ya 2 boggy with me u boring biatch thanx but u wait til nxt time il ave ya ,"['hey no i ad a crap nite ', 'as borin ', 'ithout ya 2 boggy ', 'ith me u boring biatch thanx but u ', 'ait til nxt time il ave ya ']","['hey no i ad a crap nite ', 'as borin ', 'ithout ya 2 boggy ', 'ith me u boring biatch thanx but u ', 'ait til nxt time il ave ya ']","['hey no i ad a crap nite ', 'as borin ', 'ithout ya 2 boggy ', 'ith me u boring biatch thanx but u ', 'ait til nxt time il ave ya ']",Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,hey no i ad a crap nite was borin without ya 2 boggy with me u boring biatch thanx but u wait til nxt time il ave ya 
976,ham,Ok i shall talk to him,Ok i shall talk to him,ok i shall talk to him,['ok i shall talk to him'],['ok i shall talk to him'],['ok i shall talk to him'],Ok i shall talk to him,ok i shall talk to him
977,ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,Dont hesitate You know this is the second time she has had weakness like that So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,dont hesitate you know this is the second time she has had weakness like that so keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,"['dont hesitate you kno', ' this is the second time she has had ', 'eakness like that so keep i notebook of ', 'hat she eat and did the day before or if anything changed the day before so that ', 'e can be sure its nothing']","['dont hesitate you kno', ' this is the second time she has had ', 'eakness like that so keep i notebook of ', 'hat she eat and did the day before or if anything changed the day before so that ', 'e can be sure its nothing']","['dont hesitate you kno', ' this is the second time she has had ', 'eakness like that so keep i notebook of ', 'hat she eat and did the day before or if anything changed the day before so that ', 'e can be sure its nothing']",Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,dont hesitate you know this is the second time she has had weakness like that so keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
978,ham,Hey you can pay. With salary de. Only  &lt;#&gt; .,Hey you can pay With salary de Only  ltgt ,hey you can pay with salary de only  ltgt ,"['hey you can pay ', 'ith salary de only  ltgt ']","['hey you can pay ', 'ith salary de only  ltgt ']","['hey you can pay ', 'ith salary de only  ltgt ']",Hey you can pay. With salary de. Only  &lt;#&gt; .,hey you can pay with salary de only ltgt 
979,ham,Another month. I need chocolate weed and alcohol.,Another month I need chocolate weed and alcohol,another month i need chocolate weed and alcohol,"['another month i need chocolate ', 'eed and alcohol']","['another month i need chocolate ', 'eed and alcohol']","['another month i need chocolate ', 'eed and alcohol']",Another month. I need chocolate weed and alcohol.,another month i need chocolate weed and alcohol
980,ham,If he started searching he will get job in few days.he have great potential and talent.,If he started searching he will get job in few dayshe have great potential and talent,if he started searching he will get job in few dayshe have great potential and talent,"['if he started searching he ', 'ill get job in fe', ' dayshe have great potential and talent']","['if he started searching he ', 'ill get job in fe', ' dayshe have great potential and talent']","['if he started searching he ', 'ill get job in fe', ' dayshe have great potential and talent']",If he started searching he will get job in few days.he have great potential and talent.,if he started searching he will get job in few dayshe have great potential and talent
981,ham,Reckon need to be in town by eightish to walk from * carpark.,Reckon need to be in town by eightish to walk from  carpark,reckon need to be in town by eightish to walk from  carpark,"['reckon need to be in to', 'n by eightish to ', 'alk from  carpark']","['reckon need to be in to', 'n by eightish to ', 'alk from  carpark']","['reckon need to be in to', 'n by eightish to ', 'alk from  carpark']",Reckon need to be in town by eightish to walk from * carpark.,reckon need to be in town by eightish to walk from carpark
982,spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",Congrats 2 mobile 3G Videophones R yours call 09063458130 now videochat wid your mates play java games Dload polyPH music noline rentl,congrats 2 mobile 3g videophones r yours call 09063458130 now videochat wid your mates play java games dload polyph music noline rentl,"['congrats 2 mobile 3g videophones r yours call 09063458130 no', ' videochat ', 'id your mates play java games dload polyph music noline rentl']","['congrats 2 mobile 3g videophones r yours call 09063458130 no', ' videochat ', 'id your mates play java games dload polyph music noline rentl']","['congrats 2 mobile 3g videophones r yours call 09063458130 no', ' videochat ', 'id your mates play java games dload polyph music noline rentl']","Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",congrats 2 mobile 3g videophones r yours call 09063458130 now videochat wid your mates play java games dload polyph music noline rentl
983,ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,LOOK AT THE FUCKIN TIME WHAT THE FUCK YOU THINK IS UP,look at the fuckin time what the fuck you think is up,"['look at the fuckin time ', 'hat the fuck you think is up']","['look at the fuckin time ', 'hat the fuck you think is up']","['look at the fuckin time ', 'hat the fuck you think is up']",LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,look at the fuckin time what the fuck you think is up
984,ham,Yo guess what I just dropped,Yo guess what I just dropped,yo guess what i just dropped,"['yo guess ', 'hat i just dropped']","['yo guess ', 'hat i just dropped']","['yo guess ', 'hat i just dropped']",Yo guess what I just dropped,yo guess what i just dropped
985,ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes,Carlos says hell be at mu in  ltgt  minutes,carlos says hell be at mu in  ltgt  minutes,['carlos says hell be at mu in  ltgt  minutes'],['carlos says hell be at mu in  ltgt  minutes'],['carlos says hell be at mu in  ltgt  minutes'],Carlos says he'll be at mu in  &lt;#&gt;  minutes,carlos says hell be at mu in ltgt minutes
986,ham,I'm in office now . I will call you  &lt;#&gt;  min:),Im in office now  I will call you  ltgt  min,im in office now  i will call you  ltgt  min,"['im in office no', '  i ', 'ill call you  ltgt  min']","['im in office no', '  i ', 'ill call you  ltgt  min']","['im in office no', '  i ', 'ill call you  ltgt  min']",I'm in office now . I will call you  &lt;#&gt;  min:),im in office now i will call you ltgt min
987,ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",Geeee  I miss you already you know  Your all I can think about Fuck I cant wait till next year when we will be together  loving kiss,geeee  i miss you already you know  your all i can think about fuck i cant wait till next year when we will be together  loving kiss,"['geeee  i miss you already you kno', '  your all i can think about fuck i cant ', 'ait till next year ', 'hen ', 'e ', 'ill be together  loving kiss']","['geeee  i miss you already you kno', '  your all i can think about fuck i cant ', 'ait till next year ', 'hen ', 'e ', 'ill be together  loving kiss']","['geeee  i miss you already you kno', '  your all i can think about fuck i cant ', 'ait till next year ', 'hen ', 'e ', 'ill be together  loving kiss']","Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",geeee i miss you already you know your all i can think about fuck i cant wait till next year when we will be together loving kiss
988,ham,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n",Yun ahthe ubi one say if Ì wan call by tomorrowcall 67441233 look for ireneere only got bus822656166382 Ubi cresubi tech park6ph for 1st 5wkg daysÌ¬n,yun ahthe ubi one say if ì wan call by tomorrowcall 67441233 look for ireneere only got bus822656166382 ubi cresubi tech park6ph for 1st 5wkg daysì¬n,"['yun ahthe ubi one say if ì ', 'an call by tomorro', 'call 67441233 look for ireneere only got bus822656166382 ubi cresubi tech park6ph for 1st 5', 'kg daysì¬n']","['yun ahthe ubi one say if ì ', 'an call by tomorro', 'call 67441233 look for ireneere only got bus822656166382 ubi cresubi tech park6ph for 1st 5', 'kg daysì¬n']","['yun ahthe ubi one say if ì ', 'an call by tomorro', 'call 67441233 look for ireneere only got bus822656166382 ubi cresubi tech park6ph for 1st 5', 'kg daysì¬n']","Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n",yun ahthe ubi one say if ì wan call by tomorrowcall 67441233 look for ireneere only got bus822656166382 ubi cresubi tech park6ph for 1st 5wkg daysì n
989,ham,Ugh. Gotta drive back to sd from la. My butt is sore.,Ugh Gotta drive back to sd from la My butt is sore,ugh gotta drive back to sd from la my butt is sore,['ugh gotta drive back to sd from la my butt is sore'],['ugh gotta drive back to sd from la my butt is sore'],['ugh gotta drive back to sd from la my butt is sore'],Ugh. Gotta drive back to sd from la. My butt is sore.,ugh gotta drive back to sd from la my butt is sore
990,ham,26th OF JULY,26th OF JULY,26th of july,['26th of july'],['26th of july'],['26th of july'],26th OF JULY,26th of july
991,ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,Hi im having the most relaxing time ever we have to get up at 7am every day was the party good the other night I get home tomorrow at 5ish,hi im having the most relaxing time ever we have to get up at 7am every day was the party good the other night i get home tomorrow at 5ish,"['hi im having the most relaxing time ever ', 'e have to get up at 7am every day ', 'as the party good the other night i get home tomorro', ' at 5ish']","['hi im having the most relaxing time ever ', 'e have to get up at 7am every day ', 'as the party good the other night i get home tomorro', ' at 5ish']","['hi im having the most relaxing time ever ', 'e have to get up at 7am every day ', 'as the party good the other night i get home tomorro', ' at 5ish']",Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,hi im having the most relaxing time ever we have to get up at 7am every day was the party good the other night i get home tomorrow at 5ish
992,ham,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...,Up to Ì ÌÏ wan come then come lor But i din c any stripes skirt,up to ì ìï wan come then come lor but i din c any stripes skirt,"['up to ì ìï ', 'an come then come lor but i din c any stripes skirt']","['up to ì ìï ', 'an come then come lor but i din c any stripes skirt']","['up to ì ìï ', 'an come then come lor but i din c any stripes skirt']",Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...,up to ì ìï wan come then come lor but i din c any stripes skirt
993,ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,The Xmas story is peace The Xmas msg is love The Xmas miracle is jesus Hav a blessed month ahead amp wish U Merry Xmas,the xmas story is peace the xmas msg is love the xmas miracle is jesus hav a blessed month ahead amp wish u merry xmas,"['the xmas story is peace the xmas msg is love the xmas miracle is jesus hav a blessed month ahead amp ', 'ish u merry xmas']","['the xmas story is peace the xmas msg is love the xmas miracle is jesus hav a blessed month ahead amp ', 'ish u merry xmas']","['the xmas story is peace the xmas msg is love the xmas miracle is jesus hav a blessed month ahead amp ', 'ish u merry xmas']",The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,the xmas story is peace the xmas msg is love the xmas miracle is jesus hav a blessed month ahead amp wish u merry xmas
994,ham,"I can't, I don't have her number!",I cant I dont have her number,i cant i dont have her number,['i cant i dont have her number'],['i cant i dont have her number'],['i cant i dont have her number'],"I can't, I don't have her number!",i cant i dont have her number
995,ham,Change again... It's e one next to escalator...,Change again Its e one next to escalator,change again its e one next to escalator,['change again its e one next to escalator'],['change again its e one next to escalator'],['change again its e one next to escalator'],Change again... It's e one next to escalator...,change again its e one next to escalator
996,ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,Yetunde im in class can you not run water on it to make it ok Pls now,yetunde im in class can you not run water on it to make it ok pls now,"['yetunde im in class can you not run ', 'ater on it to make it ok pls no', '']","['yetunde im in class can you not run ', 'ater on it to make it ok pls no', '']","['yetunde im in class can you not run ', 'ater on it to make it ok pls no', '']",Yetunde i'm in class can you not run water on it to make it ok. Pls now.,yetunde im in class can you not run water on it to make it ok pls now
997,ham,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,Not a lot has happened here Feels very quiet Beth is at her aunts and charlie is working lots Just me and helen in at the mo How have you been ,not a lot has happened here feels very quiet beth is at her aunts and charlie is working lots just me and helen in at the mo how have you been ,"['not a lot has happened here feels very quiet beth is at her aunts and charlie is ', 'orking lots just me and helen in at the mo ho', ' have you been ']","['not a lot has happened here feels very quiet beth is at her aunts and charlie is ', 'orking lots just me and helen in at the mo ho', ' have you been ']","['not a lot has happened here feels very quiet beth is at her aunts and charlie is ', 'orking lots just me and helen in at the mo ho', ' have you been ']",Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,not a lot has happened here feels very quiet beth is at her aunts and charlie is working lots just me and helen in at the mo how have you been 
998,ham,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,Then Ì wait 4 me at bus stop aft ur lect lar If i dun c Ì then i go get my car then come back n pick Ì,then ì wait 4 me at bus stop aft ur lect lar if i dun c ì then i go get my car then come back n pick ì,"['then ì ', 'ait 4 me at bus stop aft ur lect lar if i dun c ì then i go get my car then come back n pick ì']","['then ì ', 'ait 4 me at bus stop aft ur lect lar if i dun c ì then i go get my car then come back n pick ì']","['then ì ', 'ait 4 me at bus stop aft ur lect lar if i dun c ì then i go get my car then come back n pick ì']",Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,then ì wait 4 me at bus stop aft ur lect lar if i dun c ì then i go get my car then come back n pick ì
999,ham,"Aight will do, thanks again for comin out",Aight will do thanks again for comin out,aight will do thanks again for comin out,"['aight ', 'ill do thanks again for comin out']","['aight ', 'ill do thanks again for comin out']","['aight ', 'ill do thanks again for comin out']","Aight will do, thanks again for comin out",aight will do thanks again for comin out
1000,ham,No..but heard abt tat..,Nobut heard abt tat,nobut heard abt tat,['nobut heard abt tat'],['nobut heard abt tat'],['nobut heard abt tat'],No..but heard abt tat..,nobut heard abt tat
1001,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am11pm as you have WON a guaranteed å£1000 cash or å£5000 prize,please call our customer service representative on freephone 0808 145 4742 between 9am11pm as you have won a guaranteed å£1000 cash or å£5000 prize,"['please call our customer service representative on freephone 0808 145 4742 bet', 'een 9am11pm as you have ', 'on a guaranteed å£1000 cash or å£5000 prize']","['please call our customer service representative on freephone 0808 145 4742 bet', 'een 9am11pm as you have ', 'on a guaranteed å£1000 cash or å£5000 prize']","['please call our customer service representative on freephone 0808 145 4742 bet', 'een 9am11pm as you have ', 'on a guaranteed å£1000 cash or å£5000 prize']",Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call our customer service representative on freephone 0808 145 4742 between 9am11pm as you have won a guaranteed å 1000 cash or å 5000 prize
1002,ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,Yeshe is really greatbhaji told kallis best cricketer after sachin in worldvery tough to get out,yeshe is really greatbhaji told kallis best cricketer after sachin in worldvery tough to get out,"['yeshe is really greatbhaji told kallis best cricketer after sachin in ', 'orldvery tough to get out']","['yeshe is really greatbhaji told kallis best cricketer after sachin in ', 'orldvery tough to get out']","['yeshe is really greatbhaji told kallis best cricketer after sachin in ', 'orldvery tough to get out']",Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,yeshe is really greatbhaji told kallis best cricketer after sachin in worldvery tough to get out
1003,ham,&lt;#&gt;  am I think? Should say on syllabus,ltgt  am I think Should say on syllabus,ltgt  am i think should say on syllabus,['ltgt  am i think should say on syllabus'],['ltgt  am i think should say on syllabus'],['ltgt  am i think should say on syllabus'],&lt;#&gt;  am I think? Should say on syllabus,ltgt am i think should say on syllabus
1004,ham,Umma. Did she say anything,Umma Did she say anything,umma did she say anything,['umma did she say anything'],['umma did she say anything'],['umma did she say anything'],Umma. Did she say anything,umma did she say anything
1005,ham,Give me a sec to think think about it,Give me a sec to think think about it,give me a sec to think think about it,['give me a sec to think think about it'],['give me a sec to think think about it'],['give me a sec to think think about it'],Give me a sec to think think about it,give me a sec to think think about it
1006,spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,Panasonic  BluetoothHdset FREE Nokia FREE Motorola FREE  DoubleMins  DoubleTxt on Orange contract Call MobileUpd8 on 08000839402 or call 2optout,panasonic  bluetoothhdset free nokia free motorola free  doublemins  doubletxt on orange contract call mobileupd8 on 08000839402 or call 2optout,['panasonic  bluetoothhdset free nokia free motorola free  doublemins  doubletxt on orange contract call mobileupd8 on 08000839402 or call 2optout'],['panasonic  bluetoothhdset free nokia free motorola free  doublemins  doubletxt on orange contract call mobileupd8 on 08000839402 or call 2optout'],['panasonic  bluetoothhdset free nokia free motorola free  doublemins  doubletxt on orange contract call mobileupd8 on 08000839402 or call 2optout'],Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt on orange contract call mobileupd8 on 08000839402 or call 2optout
1007,ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,I dont quite know what to do I still cant get hold of anyone I cud pick you up bout 730pm and we can see if theyre in the pub,i dont quite know what to do i still cant get hold of anyone i cud pick you up bout 730pm and we can see if theyre in the pub,"['i dont quite kno', ' ', 'hat to do i still cant get hold of anyone i cud pick you up bout 730pm and ', 'e can see if theyre in the pub']","['i dont quite kno', ' ', 'hat to do i still cant get hold of anyone i cud pick you up bout 730pm and ', 'e can see if theyre in the pub']","['i dont quite kno', ' ', 'hat to do i still cant get hold of anyone i cud pick you up bout 730pm and ', 'e can see if theyre in the pub']",I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,i dont quite know what to do i still cant get hold of anyone i cud pick you up bout 730pm and we can see if theyre in the pub
1008,ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",Poyyarikaturkolathupalayamunjalur posterode dis ltgt ,poyyarikaturkolathupalayamunjalur posterode dis ltgt ,['poyyarikaturkolathupalayamunjalur posterode dis ltgt '],['poyyarikaturkolathupalayamunjalur posterode dis ltgt '],['poyyarikaturkolathupalayamunjalur posterode dis ltgt '],"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",poyyarikaturkolathupalayamunjalur posterode dis ltgt 
1009,ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",Dear Heroi am leaving to qatar tonite for an apt opportunitypls do keep in touch at  ltEMAILgt kerala,dear heroi am leaving to qatar tonite for an apt opportunitypls do keep in touch at  ltemailgt kerala,['dear heroi am leaving to qatar tonite for an apt opportunitypls do keep in touch at  ltemailgt kerala'],['dear heroi am leaving to qatar tonite for an apt opportunitypls do keep in touch at  ltemailgt kerala'],['dear heroi am leaving to qatar tonite for an apt opportunitypls do keep in touch at  ltemailgt kerala'],"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",dear heroi am leaving to qatar tonite for an apt opportunitypls do keep in touch at ltemailgt kerala
1010,ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,lol i would but my mom would have a fit and tell the whole family how crazy and terrible i am,"['lol i ', 'ould but my mom ', 'ould have a fit and tell the ', 'hole family ho', ' crazy and terrible i am']","['lol i ', 'ould but my mom ', 'ould have a fit and tell the ', 'hole family ho', ' crazy and terrible i am']","['lol i ', 'ould but my mom ', 'ould have a fit and tell the ', 'hole family ho', ' crazy and terrible i am']",Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,lol i would but my mom would have a fit and tell the whole family how crazy and terrible i am
1011,ham,"I just got home babe, are you still awake ?",I just got home babe are you still awake ,i just got home babe are you still awake ,"['i just got home babe are you still a', 'ake ']","['i just got home babe are you still a', 'ake ']","['i just got home babe are you still a', 'ake ']","I just got home babe, are you still awake ?",i just got home babe are you still awake 
1012,ham,I dunno they close oredi not... ÌÏ v ma fan...,I dunno they close oredi not ÌÏ v ma fan,i dunno they close oredi not ìï v ma fan,['i dunno they close oredi not ìï v ma fan'],['i dunno they close oredi not ìï v ma fan'],['i dunno they close oredi not ìï v ma fan'],I dunno they close oredi not... ÌÏ v ma fan...,i dunno they close oredi not ìï v ma fan
